,errors
258,0.260307012538873
259,0.5466856279446389
260,1.0292170509485645
261,1.7729641933931213
262,0.6276651739459064
263,1.5964307830709856
264,2.330033901801209
265,1.4856590688706468
266,1.0062022936460233
267,1.0238754299490698
268,1.3235715585180565
269,0.5440745755709171
270,3.0080702304562585
271,1.7105969881071066
272,1.2903757681013652
273,0.36557592820140616
274,0.8247449311828263
275,1.2480145611401574
276,0.5247809185769353
277,1.681927055808329
278,2.6780466977722672
279,0.6629115452934149
280,1.0398559172408006
281,1.0830519659443532
282,0.5215115893736259
283,0.9210015001043058
284,0.24621760793904499
285,1.9184665235766458
286,1.4009703814820142
287,1.0178491862339827
288,0.30143174277457646
289,0.42308545340459897
290,0.5515509843034306
291,1.1435173383894204
292,0.6568061784316179
293,0.9104594701529218
294,1.0417861974040366
